305,0.0092
310,0.0408
315,0.1039
320,0.1744
325,0.2379
330,0.381
335,0.376
340,0.4195
345,0.423
350,0.4662
360,0.5014
370,0.6421
380,0.6867
390,0.6946
400,0.9764
410,1.1162
420,1.1411
430,1.033
440,1.2548
450,1.4707
460,1.5416
470,1.5237
480,1.5693
490,1.4834
500,1.4926
510,1.529
520,1.4311
530,1.5154
540,1.4945
550,1.5049
570,1.4471
590,1.3449
610,1.4315
630,1.3821
650,1.3694
670,1.3418
690,1.089
710,1.269
718,0.9737
724.4,1.0054
740,1.1673
752.5,1.1506
757.5,1.1329
762.5,0.6198
767.5,0.9933
780,1.0901
800,1.0424
816,0.8184
823.7,0.7565
831.5,0.8832
840,0.9251
860,0.9434
880,0.8994
905,0.7214
915,0.6433
925,0.8653
930,0.389
937,0.2489
948,0.3022
965,0.5077
980,0.623
993.5,0.7197
1040,0.6655
1070,0.6144
1100,0.3976
1120,0.105
1130,0.1822
1137,0.1274
1161,0.3267
1180,0.4433
1200,0.4082
1235,0.4631
1290,0.3981
1320,0.2411
1350,0.0313
1395,0.0015
1442.5,0.0537
1462.5,0.1013
1477,0.1017
1497,0.1755
1520,0.2531
1539,0.2643
1558,0.265
1578,0.2357
1592,0.2384
1610,0.2204
1630,0.2356
1646,0.2263
1678,0.2125
1740,0.1653
1800,0.0296
1860,0.0019
1920,0.0012
1960,0.0204
1985,0.0878
2005,0.0258
2035,0.0959
2065,0.0582
2100,0.0859
2148,0.0792
2198,0.0689
2270,0.0677
2360,0.0598
2450,0.0204
2451,0
2700,0
